0.000000 3.141600 0.000000 0.000000 0.000000
0.001250 3.141600 -0.097111 0.000000 -0.030104
0.002500 3.141479 -0.192183 -0.000038 -0.059577
0.003750 3.141238 -0.285248 -0.000112 -0.088428
0.005000 3.140882 -0.376338 -0.000223 -0.116670
0.006250 3.140411 -0.465484 -0.000368 -0.144314
0.007500 3.139830 -0.552718 -0.000549 -0.171371
0.008750 3.139139 -0.638070 -0.000763 -0.197852
0.010000 3.138341 -0.721570 -0.001010 -0.223767
0.011250 3.137439 -0.803247 -0.001290 -0.249127
0.012500 3.136435 -0.883129 -0.001602 -0.273942
0.013750 3.135331 -0.961244 -0.001944 -0.298221
0.015000 3.134130 -1.037621 -0.002317 -0.321975
0.016250 3.132833 -1.112286 -0.002719 -0.345213
0.017500 3.131442 -1.185266 -0.003151 -0.367945
0.018750 3.129961 -1.256586 -0.003611 -0.390180
0.020000 3.128390 -1.326273 -0.004098 -0.411927
0.021250 3.126732 -1.394351 -0.004613 -0.433195
0.022500 3.124989 -1.460845 -0.005155 -0.453993
0.023750 3.123163 -1.525779 -0.005722 -0.474329
0.025000 3.121256 -1.589178 -0.006315 -0.494212
0.026250 3.119269 -1.651063 -0.006933 -0.513650
0.027500 3.117206 -1.711460 -0.007575 -0.532651
0.028750 3.115066 -1.770388 -0.008241 -0.551224
0.030000 3.112853 -1.827872 -0.008930 -0.569375
0.031250 3.110568 -1.883932 -0.009642 -0.587113
0.032500 3.108213 -1.938590 -0.010375 -0.604446
0.033750 3.105790 -1.991867 -0.011131 -0.621381
0.035000 3.103300 -2.043784 -0.011908 -0.637924
0.036250 3.100746 -2.094361 -0.012705 -0.654085
0.037500 3.098128 -2.143617 -0.013523 -0.669868
0.038750 3.095448 -2.191573 -0.014360 -0.685281
0.040000 3.092709 -2.238247 -0.015217 -0.700332
0.041250 3.089911 -2.283659 -0.016092 -0.715027
0.042500 3.087056 -2.327827 -0.016986 -0.729371
0.043750 3.084147 -2.370770 -0.017898 -0.743373
0.045000 3.081183 -2.412505 -0.018827 -0.757038
0.046250 3.078167 -2.453051 -0.019773 -0.770371
0.047500 3.075101 -2.492425 -0.020736 -0.783381
0.048750 3.071986 -2.530644 -0.021715 -0.796071
0.050000 3.068822 -2.567725 -0.022710 -0.808449
0.051250 3.065613 -2.603685 -0.023721 -0.820521
0.052500 3.062358 -2.638541 -0.024747 -0.832290
0.053750 3.059060 -2.672307 -0.025787 -0.843765
0.055000 3.055719 -2.705002 -0.026842 -0.854949
0.056250 3.052338 -2.736639 -0.027910 -0.865848
0.057500 3.048917 -2.767235 -0.028993 -0.876468
0.058750 3.045458 -2.796804 -0.030088 -0.886814
0.060000 3.041962 -2.825363 -0.031197 -0.896891
0.061250 3.038431 -2.852925 -0.032318 -0.906703
0.062500 3.034865 -2.879506 -0.033451 -0.916257
0.063750 3.031265 -2.905119 -0.034597 -0.925556
0.065000 3.027634 -2.929779 -0.035754 -0.934606
0.066250 3.023972 -2.953500 -0.036922 -0.943411
0.067500 3.020280 -2.976296 -0.038101 -0.951976
0.068750 3.016559 -2.998180 -0.039291 -0.960305
0.070000 3.012812 -3.019165 -0.040491 -0.968403
0.071250 3.009038 -3.039266 -0.041702 -0.976274
0.072500 3.005239 -3.058494 -0.042922 -0.983923
0.073750 3.001415 -3.076864 -0.044152 -0.991353
0.075000 2.997569 -3.094387 -0.045391 -0.998569
0.076250 2.993701 -3.111076 -0.046640 -1.005576
0.077500 2.989812 -3.126943 -0.047897 -1.012376
0.078750 2.985904 -3.142001 -0.049162 -1.018974
0.080000 2.981976 -3.156262 -0.050436 -1.025373
0.081250 2.978031 -3.169738 -0.051717 -1.031579
0.082500 2.974069 -3.182440 -0.053007 -1.037593
0.083750 2.970091 -3.194379 -0.054304 -1.043421
0.085000 2.966098 -3.205568 -0.055608 -1.049065
0.086250 2.962091 -3.216018 -0.056919 -1.054529
0.087500 2.958071 -3.225739 -0.058238 -1.059817
0.088750 2.954039 -3.234743 -0.059562 -1.064932
0.090000 2.949995 -3.243041 -0.060894 -1.069878
0.091250 2.945941 -3.250643 -0.062231 -1.074657
0.092500 2.941878 -3.257559 -0.063574 -1.079273
0.093750 2.937806 -3.263801 -0.064923 -1.083729
0.095000 2.933726 -3.269379 -0.066278 -1.088029
0.096250 2.929640 -3.274302 -0.067638 -1.092175
0.097500 2.925547 -3.278581 -0.069003 -1.096170
0.098750 2.921449 -3.282226 -0.070373 -1.100018
0.100000 2.917346 -3.285246 -0.071749 -1.103722
0.101250 2.913239 -3.287651 -0.073128 -1.107283
0.102500 2.909130 -3.289451 -0.074512 -1.110706
0.103750 2.905018 -3.290655 -0.075901 -1.113993
0.105000 2.900905 -3.291272 -0.077293 -1.117146
0.106250 2.896790 -3.291312 -0.078690 -1.120168
0.107500 2.892676 -3.290783 -0.080090 -1.123063
0.108750 2.888563 -3.289695 -0.081494 -1.125832
0.110000 2.884451 -3.288056 -0.082901 -1.128478
0.111250 2.880341 -3.285875 -0.084311 -1.131003
0.112500 2.876233 -3.283161 -0.085725 -1.133411
0.113750 2.872129 -3.279922 -0.087142 -1.135703
0.115000 2.868029 -3.276167 -0.088562 -1.137882
0.116250 2.863934 -3.271904 -0.089984 -1.139950
0.117500 2.859844 -3.267140 -0.091409 -1.141910
0.118750 2.855760 -3.261885 -0.092836 -1.143763
0.120000 2.851683 -3.256145 -0.094266 -1.145512
0.121250 2.847613 -3.249930 -0.095698 -1.147160
0.122500 2.843550 -3.243246 -0.097132 -1.148707
0.123750 2.839496 -3.236102 -0.098568 -1.150157
